date,compound,positive,neutral,negative
2001-02-21,-0.3182,0.203,0.407,0.39
2001-02-22,0.0,0.0,1.0,0.0
2001-02-23,0.0,0.0,1.0,0.0
2001-02-24,0.0,0.0,1.0,0.0
2001-02-25,-0.6249,0.0,0.495,0.505
2001-02-27,0.0,0.0,1.0,0.0
2001-02-28,0.0,0.0,1.0,0.0
2001-03-01,0.34,0.375,0.625,0.0
2001-03-02,0.0,0.0,1.0,0.0
2001-03-03,0.0,0.0,1.0,0.0
2001-03-04,0.3182,0.365,0.635,0.0
2001-03-05,0.2732,0.512,0.488,0.0
2001-03-06,-0.296,0.0,0.845,0.155
2001-03-07,0.0,0.0,1.0,0.0
2001-03-08,0.0,0.0,1.0,0.0
2001-03-09,0.0,0.0,1.0,0.0
2001-03-10,-0.5358,0.0,0.611,0.389
2001-03-11,-0.4019,0.0,0.597,0.403
2001-03-12,0.0,0.0,1.0,0.0
2001-03-13,0.0,0.0,1.0,0.0
2001-03-14,0.0,0.0,1.0,0.0
2001-03-15,0.2732,0.512,0.488,0.0
2001-03-16,-0.128,0.0,0.727,0.273
2001-03-17,-0.2732,0.0,0.704,0.296
2001-03-18,0.0,0.0,1.0,0.0
2001-03-19,0.0,0.0,1.0,0.0
2001-03-20,0.2732,0.208,0.7920000000000001,0.0
2001-03-21,0.0,0.0,1.0,0.0
2001-03-22,-0.3612,0.0,0.706,0.294
2001-03-23,-0.4939,0.0,0.652,0.34800000000000003
2001-03-24,0.0,0.0,1.0,0.0
2001-03-25,0.0,0.0,1.0,0.0
2001-03-27,0.0,0.0,1.0,0.0
2001-03-29,0.0,0.0,1.0,0.0
2001-03-30,0.2023,0.141,0.859,0.0
2001-03-31,0.2732,0.231,0.769,0.0
2001-04-01,0.0,0.0,1.0,0.0
2001-04-03,0.0,0.0,1.0,0.0
2001-04-04,0.0,0.0,1.0,0.0
2001-04-05,0.0,0.0,1.0,0.0
2001-04-06,0.0,0.0,1.0,0.0
2001-04-10,0.0,0.0,1.0,0.0
2001-04-12,0.0772,0.206,0.794,0.0
2001-04-13,-0.128,0.0,0.6670000000000001,0.333
2001-04-16,0.0,0.0,1.0,0.0
2001-04-17,0.0,0.0,1.0,0.0
2001-04-18,0.0,0.0,1.0,0.0
2001-04-21,0.0,0.0,1.0,0.0
2001-04-24,-0.4939,0.0,0.556,0.444
2001-04-25,-0.296,0.0,0.804,0.196
2001-04-26,0.0,0.0,1.0,0.0
2001-04-27,0.0,0.0,1.0,0.0
2001-04-29,-0.7184,0.0,0.632,0.368
2001-04-30,-0.0772,0.323,0.308,0.369
2001-05-01,-0.6249,0.0,0.611,0.389
2001-05-02,-0.6369,0.0,0.634,0.366
2001-05-03,0.0,0.0,1.0,0.0
2001-05-04,0.0,0.0,1.0,0.0
2001-05-05,0.2732,0.208,0.792,0.0
2001-05-06,0.0,0.0,1.0,0.0
2001-05-07,-0.296,0.284,0.27,0.446
2001-05-08,0.1531,0.276,0.526,0.197
2001-05-09,0.6369,0.545,0.455,0.0
2001-05-10,-0.40190000000000003,0.0,0.748,0.252
2001-05-11,0.0,0.0,1.0,0.0
2001-05-12,0.4019,0.268,0.615,0.117
2001-05-13,0.0,0.0,1.0,0.0
2001-05-14,-0.296,0.284,0.27,0.446
2001-05-15,0.6908,0.487,0.513,0.0
2001-05-16,0.7269,0.319,0.681,0.0
2001-05-17,0.296,0.216,0.7840000000000001,0.0
2001-05-18,0.0,0.0,1.0,0.0
2001-05-19,-0.4404,0.234,0.419,0.347
2001-05-23,-0.5719,0.0,0.515,0.48500000000000004
2001-05-24,0.0,0.0,1.0,0.0
2001-05-25,-0.128,0.0,0.824,0.176
2001-05-26,-0.2732,0.227,0.4,0.373
2001-05-27,-0.296,0.0,0.694,0.306
2001-05-29,0.2732,0.512,0.488,0.0
2001-05-30,0.3818,0.302,0.698,0.0
2001-05-31,0.0,0.0,1.0,0.0
2001-06-01,0.0,0.0,1.0,0.0
2001-06-02,0.4215,0.219,0.781,0.0
2001-06-03,0.0,0.0,1.0,0.0
2001-06-04,0.4215,0.177,0.823,0.0
2001-06-05,0.0,0.0,1.0,0.0
2001-06-06,0.0,0.0,1.0,0.0
2001-06-07,0.0,0.0,1.0,0.0
2001-06-08,0.2732,0.208,0.792,0.0
2001-06-09,0.1027,0.189,0.811,0.0
2001-06-10,0.0,0.0,1.0,0.0
2001-06-11,0.2732,0.296,0.704,0.0
2001-06-12,0.0,0.0,1.0,0.0
2001-06-13,0.0,0.0,1.0,0.0
2001-06-14,0.0,0.0,1.0,0.0
2001-06-15,0.0,0.0,1.0,0.0
2001-06-16,0.0,0.0,1.0,0.0
2001-06-17,0.0,0.0,1.0,0.0
2001-06-18,-0.2528,0.175,0.556,0.269
2001-06-19,0.0634,0.313,0.39799999999999996,0.289
2001-06-21,0.2991,0.35200000000000004,0.468,0.17899999999999996
2001-06-22,0.368,0.202,0.798,0.0
2001-06-23,0.0,0.0,1.0,0.0
2001-06-24,0.0,0.0,1.0,0.0
2001-06-25,-0.0516,0.0,0.769,0.231
2001-06-27,0.0,0.0,1.0,0.0
2001-06-28,0.0,0.0,1.0,0.0
2001-06-29,0.0,0.0,1.0,0.0
2001-06-30,0.4019,0.197,0.803,0.0
2001-07-01,0.0,0.0,1.0,0.0
2001-07-04,-0.3818,0.0,0.755,0.245
2001-07-05,0.0,0.0,1.0,0.0
2001-07-06,0.6249,0.406,0.594,0.0
2001-07-07,0.0,0.0,1.0,0.0
2001-07-08,0.0,0.0,1.0,0.0
2001-07-09,0.6249,0.421,0.579,0.0
2001-07-10,0.0,0.0,1.0,0.0
2001-07-11,0.2732,0.189,0.811,0.0
2001-07-12,0.6486,0.296,0.635,0.069
2001-07-13,0.0,0.0,1.0,0.0
2001-07-14,0.0,0.0,1.0,0.0
2001-07-15,0.0,0.0,1.0,0.0
2001-07-16,-0.4215,0.15,0.5,0.35
2001-07-17,0.5859,0.4069999999999999,0.593,0.0
2001-07-18,0.4019,0.231,0.769,0.0
2001-07-19,0.0,0.0,1.0,0.0
2001-07-20,0.0,0.0,1.0,0.0
2001-07-21,-0.2732,0.0,0.811,0.18899999999999997
2001-07-22,0.2732,0.296,0.704,0.0
2001-07-23,0.0,0.0,1.0,0.0
2001-07-25,0.0,0.0,1.0,0.0
2001-07-26,0.0,0.0,1.0,0.0
2001-07-27,0.0,0.0,1.0,0.0
2001-07-28,-0.128,0.216,0.515,0.268
2001-07-29,0.6908,1.0,0.0,0.0
2001-07-31,0.0,0.0,1.0,0.0
2001-08-01,0.0,0.0,1.0,0.0
2001-08-02,0.6369,0.39399999999999996,0.606,0.0
2001-08-03,0.1779,0.221,0.632,0.147
2001-08-04,0.0,0.0,1.0,0.0
2001-08-05,-0.4215,0.221,0.294,0.485
2001-08-08,0.0,0.0,1.0,0.0
2001-08-12,0.0,0.0,1.0,0.0
2001-08-14,0.2617,0.168,0.744,0.088
2001-08-15,0.4404,0.326,0.674,0.0
2001-08-16,0.0,0.0,1.0,0.0
2001-08-17,0.5574,0.375,0.625,0.0
2001-08-18,0.0,0.0,1.0,0.0
2001-08-19,0.0,0.0,1.0,0.0
2001-08-22,0.0,0.0,1.0,0.0
2001-08-24,0.0,0.0,1.0,0.0
2001-08-25,0.0,0.0,1.0,0.0
2001-08-26,0.0,0.0,1.0,0.0
2001-08-27,0.0,0.0,1.0,0.0
2001-08-28,0.0,0.0,1.0,0.0
2001-08-29,0.0,0.0,1.0,0.0
2001-08-30,0.0,0.0,1.0,0.0
2001-08-31,-0.128,0.0,0.842,0.158
2001-09-01,0.0,0.0,1.0,0.0
2001-09-02,-0.4767,0.0,0.721,0.279
2001-09-04,0.1027,0.167,0.833,0.0
2001-09-05,0.0,0.0,1.0,0.0
2001-09-06,0.0,0.0,1.0,0.0
2001-09-08,0.7783,0.63,0.37,0.0
2001-09-09,0.0,0.0,1.0,0.0
2001-09-12,0.0,0.0,1.0,0.0
2001-09-13,-0.3612,0.0,0.737,0.263
2001-09-15,-0.7506,0.147,0.421,0.432
2001-09-18,-0.5719,0.0,0.654,0.346
2001-09-19,0.0,0.0,1.0,0.0
2001-09-20,-0.2732,0.0,0.792,0.20800000000000002
2001-09-22,0.0,0.0,1.0,0.0
2001-09-23,0.0,0.0,1.0,0.0
2001-09-24,0.3818,0.342,0.658,0.0
2001-09-25,0.0,0.0,1.0,0.0
2001-09-26,0.0,0.0,1.0,0.0
2001-09-27,0.0,0.0,1.0,0.0
2001-09-28,-0.34,0.0,0.745,0.255
2001-09-30,-0.4019,0.0,0.722,0.278
2001-10-01,-0.296,0.0,0.645,0.355
2001-10-02,0.0,0.0,1.0,0.0
2001-10-03,0.0,0.159,0.606,0.235
2001-10-04,0.0,0.0,1.0,0.0
2001-10-06,-0.0334,0.148,0.693,0.159
2001-10-08,0.2263,0.363,0.442,0.195
2001-10-10,0.0,0.0,1.0,0.0
2001-10-12,0.7096,0.633,0.367,0.0
2001-10-13,0.128,0.234,0.567,0.19899999999999998
2001-10-14,0.0,0.0,1.0,0.0
2001-10-17,0.0,0.0,1.0,0.0
2001-10-18,-0.765,0.0,0.431,0.569
2001-10-19,0.0,0.0,1.0,0.0
2001-10-20,0.0,0.0,1.0,0.0
2001-10-21,0.0,0.0,1.0,0.0
2001-10-22,0.5106,0.355,0.645,0.0
2001-10-23,0.2732,0.259,0.741,0.0
2001-10-24,0.0,0.0,1.0,0.0
2001-10-25,0.0,0.0,1.0,0.0
2001-10-26,0.0258,0.507,0.133,0.36000000000000004
2001-10-27,0.0,0.0,1.0,0.0
2001-10-28,-0.0516,0.173,0.636,0.191
2001-10-29,-0.4767,0.0,0.492,0.508
2001-10-30,0.296,0.268,0.732,0.0
2001-10-31,0.0,0.0,1.0,0.0
2001-11-01,-0.926,0.0,0.27,0.73
2001-11-02,0.5574,0.697,0.303,0.0
2001-11-03,0.0,0.0,1.0,0.0
2001-11-04,0.0,0.0,1.0,0.0
2001-11-05,-0.1779,0.243,0.45,0.306
2001-11-06,-0.2732,0.0,0.792,0.208
2001-11-07,-0.5106,0.0,0.65,0.35
2001-11-08,0.5423,0.304,0.696,0.0
2001-11-09,0.0,0.0,1.0,0.0
2001-11-10,-0.2263,0.0,0.808,0.192
2001-11-11,-0.5106,0.0,0.732,0.268
2001-11-12,0.0,0.0,1.0,0.0
2001-11-13,0.0,0.0,1.0,0.0
2001-11-14,0.0,0.0,1.0,0.0
2001-11-15,-0.2732,0.0,0.826,0.174
2001-11-16,-0.2732,0.0,0.704,0.296
2001-11-17,-0.5994,0.0,0.642,0.358
2001-11-18,0.2732,0.259,0.741,0.0
2001-11-19,0.0,0.0,1.0,0.0
2001-11-20,0.0,0.0,1.0,0.0
2001-11-21,-0.296,0.0,0.833,0.167
2001-11-22,0.296,0.216,0.784,0.0
2001-11-23,0.0,0.0,1.0,0.0
2001-11-24,0.7783,0.796,0.204,0.0
2001-11-25,0.0,0.0,1.0,0.0
2001-11-27,0.0,0.0,1.0,0.0
2001-11-28,0.0,0.0,1.0,0.0
2001-11-30,0.0,0.0,1.0,0.0
2001-12-01,0.34,0.545,0.455,0.0
2001-12-02,-0.296,0.0,0.312,0.688
2001-12-04,0.0,0.0,1.0,0.0
2001-12-05,0.0,0.0,1.0,0.0
2001-12-06,0.2023,0.167,0.833,0.0
2001-12-07,0.1779,0.206,0.654,0.14
2001-12-08,-0.5267,0.0,0.673,0.327
2001-12-10,0.0,0.0,1.0,0.0
2001-12-11,-0.4019,0.0,0.69,0.31
2001-12-13,0.0,0.0,1.0,0.0
2001-12-14,0.0,0.0,1.0,0.0
2001-12-15,0.0,0.0,1.0,0.0
2001-12-16,-0.296,0.0,0.312,0.688
2001-12-18,-0.2732,0.0,0.792,0.208
2001-12-19,0.6597,0.519,0.481,0.0
2001-12-20,-0.2732,0.0,0.792,0.208
2001-12-22,-0.4588,0.0,0.727,0.273
2001-12-25,0.4215,0.318,0.682,0.0
2001-12-27,0.0,0.0,1.0,0.0
2001-12-28,-0.296,0.0,0.761,0.239
2001-12-29,-0.2732,0.0,0.826,0.174
2001-12-31,0.0,0.0,1.0,0.0
2002-01-01,0.2263,0.204,0.68,0.117
2002-01-02,0.0,0.0,1.0,0.0
2002-01-03,0.0,0.0,1.0,0.0
2002-01-04,0.2732,0.296,0.704,0.0
2002-01-05,-0.2023,0.0,0.816,0.18400000000000002
2002-01-06,0.0,0.0,1.0,0.0
2002-01-08,0.0,0.0,1.0,0.0
2002-01-11,0.5423,0.412,0.588,0.0
2002-01-12,0.0,0.0,1.0,0.0
2002-01-13,0.3818,0.302,0.698,0.0
2002-01-14,0.0,0.0,1.0,0.0
2002-01-15,0.0,0.0,1.0,0.0
2002-01-16,0.0,0.0,1.0,0.0
2002-01-17,0.0,0.0,1.0,0.0
2002-01-18,0.0,0.0,1.0,0.0
2002-01-20,0.4019,0.474,0.526,0.0
2002-01-22,-0.5994,0.0,0.738,0.262
2002-01-23,-0.2732,0.142,0.63,0.228
2002-01-24,-0.3412,0.0,0.744,0.256
2002-01-25,0.2732,0.231,0.769,0.0
2002-01-26,0.2732,0.296,0.7040000000000001,0.0
2002-01-27,0.6124,0.357,0.643,0.0
2002-01-28,0.0,0.0,1.0,0.0
2002-01-29,-0.5106,0.0,0.377,0.623
2002-01-31,0.0,0.0,1.0,0.0
2002-02-02,0.0,0.0,1.0,0.0
2002-02-03,0.0,0.0,1.0,0.0
2002-02-05,0.0,0.0,1.0,0.0
2002-02-06,0.0,0.0,1.0,0.0
2002-02-08,0.0,0.0,1.0,0.0
2002-02-09,0.3182,0.204,0.796,0.0
2002-02-12,0.0,0.0,1.0,0.0
2002-02-13,0.4404,0.266,0.734,0.0
2002-02-14,0.0,0.0,1.0,0.0
2002-02-15,0.0,0.0,1.0,0.0
2002-02-17,-0.7003,0.0,0.655,0.345
2002-02-18,-0.2732,0.204,0.485,0.311
2002-02-20,0.2732,0.259,0.741,0.0
2002-02-21,0.0,0.0,1.0,0.0
2002-02-25,0.0,0.0,1.0,0.0
2002-02-26,0.0,0.0,1.0,0.0
2002-02-28,-0.2263,0.0,0.826,0.174
2002-03-01,-0.5267,0.0,0.405,0.595
2002-03-02,0.0,0.188,0.625,0.188
2002-03-03,-0.4215,0.0,0.517,0.483
2002-03-05,0.0,0.0,1.0,0.0
2002-03-06,-0.3818,0.0,0.794,0.206
2002-03-07,0.0,0.0,1.0,0.0
2002-03-10,-0.34,0.0,0.745,0.255
2002-03-11,-0.296,0.0,0.784,0.216
2002-03-12,0.0,0.0,1.0,0.0
2002-03-14,0.4215,0.359,0.641,0.0
2002-03-15,0.0,0.0,1.0,0.0
2002-03-16,0.0,0.0,1.0,0.0
2002-03-17,0.3612,0.2,0.8,0.0
2002-03-19,0.0,0.0,1.0,0.0
2002-03-20,0.34,0.545,0.455,0.0
2002-03-21,0.4019,0.278,0.722,0.0
2002-03-22,-0.3182,0.0,0.777,0.223
2002-03-23,-0.4939,0.0,0.192,0.808
2002-03-24,0.0,0.0,1.0,0.0
2002-03-25,0.0,0.0,1.0,0.0
2002-03-26,0.0,0.0,1.0,0.0
2002-03-30,-0.5267,0.0,0.702,0.298
2002-03-31,0.4767,0.341,0.659,0.0
2002-04-02,0.0,0.0,1.0,0.0
2002-04-03,0.6124,0.18499999999999997,0.815,0.0
2002-04-04,-0.5719,0.0,0.73,0.27
2002-04-05,0.0,0.0,1.0,0.0
2002-04-06,0.4215,0.318,0.682,0.0
